,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
7638,Классические куклы,128606415,3,6490,6295,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/128606415/detail.aspx?targetUrl=BP
7639,Классические куклы,128312059,3,6490,6295,Дары маркет,81544364,0,0,https://www.wildberries.ru/catalog/128312059/detail.aspx?targetUrl=BP
7640,Коллекционные куклы,131123433,3,6486,6291,ТрансГрупп,4706799,0,0,https://www.wildberries.ru/catalog/131123433/detail.aspx?targetUrl=BP
7641,Коллекционные куклы,132298345,3,6486,6291,Лили и КО,968195,0,0,https://www.wildberries.ru/catalog/132298345/detail.aspx?targetUrl=BP
7642,Коллекционные куклы,131202164,3,6486,6291,Похожая на цветок,11801175,0,0,https://www.wildberries.ru/catalog/131202164/detail.aspx?targetUrl=BP
7643,Коллекционные куклы,131227688,3,6480,6285,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227688/detail.aspx?targetUrl=BP
7644,Коллекционные куклы,131149935,3,6480,6285,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/131149935/detail.aspx?targetUrl=BP
7645,Коллекционные куклы,131227720,3,6480,6285,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227720/detail.aspx?targetUrl=BP
7646,Коллекционные куклы,131227811,3,6480,6285,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227811/detail.aspx?targetUrl=BP
7647,Пупсы,131227678,3,6480,6285,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227678/detail.aspx?targetUrl=BP
7648,Классические куклы,131227837,3,6480,6285,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227837/detail.aspx?targetUrl=BP
7649,Пупсы,131149395,3,6480,6285,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/131149395/detail.aspx?targetUrl=BP
7650,Коллекционные куклы,131149715,3,6480,6285,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/131149715/detail.aspx?targetUrl=BP
7651,Коллекционные куклы,131149613,3,6480,6285,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/131149613/detail.aspx?targetUrl=BP
7652,Классические куклы,131149728,3,6480,6285,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/131149728/detail.aspx?targetUrl=BP
7653,Классические куклы,131227880,3,6480,6285,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227880/detail.aspx?targetUrl=BP
7654,Классические куклы,131227862,3,6480,6285,Уютерра-Детский мир,128518332,0,0,https://www.wildberries.ru/catalog/131227862/detail.aspx?targetUrl=BP
7655,Классические куклы,131167445,3,6480,6285,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/131167445/detail.aspx?targetUrl=BP
7656,Классические куклы,131149602,3,6480,6285,МАМИН МАЛЫШ,22729,0,0,https://www.wildberries.ru/catalog/131149602/detail.aspx?targetUrl=BP
7657,Коллекционные куклы,128262034,3,6480,6285,Marseille Market,11011538,0,0,https://www.wildberries.ru/catalog/128262034/detail.aspx?targetUrl=BP
7658,Коллекционные куклы,128279359,3,6476,6281,Похожая на цветок,11801175,0,0,https://www.wildberries.ru/catalog/128279359/detail.aspx?targetUrl=BP
7659,Коллекционные куклы,128236495,3,6476,6281,ТрансГрупп,4706799,0,0,https://www.wildberries.ru/catalog/128236495/detail.aspx?targetUrl=BP
